Gm#,Date,,Tm,AwayTeam,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,HomeGame,Index,year
1,201704020,boxscore,ARI,SFG,W-wo,6,5,,1-0,1,up 0.5,Rodney,Melancon,,3:23,D,"49,016",+,True,0,2017
1,201704020,boxscore,TBR,NYY,W,7,3,,1-0,1,up 0.5,Archer,Tanaka,Colome,3:21,D,"31,042",+,True,1,2017
1,201704020,boxscore,STL,CHC,W-wo,4,3,,1-0,1,up 0.5,Oh,Montgomery,,3:33,N,"47,566",+,True,2,2017
1,201704030,boxscore,BAL,TOR,W-wo,3,2,11,1-0,1, Tied,Wilson,Grilli,,3:41,D,"45,667",+,True,3,2017
1,201704030,boxscore,BOS,PIT,W,5,3,,1-0,1, Tied,Porcello,Cole,Kimbrel,3:03,D,"36,594",+,True,4,2017
1,201704030,boxscore,TEX,CLE,L,5,8,,0-1,3, 1.0,Miller,Dyson,Allen,3:21,N,"48,350",-,True,5,2017
1,201704030,boxscore,CIN,PHI,L,3,4,,0-1,2, 1.0,Hellickson,Feldman,Gomez,3:04,D,"43,804",-,True,6,2017
1,201704030,boxscore,NYM,ATL,W,6,0,,1-0,1, Tied,Robles,Krol,,3:13,D,"44,384",+,True,7,2017
1,201704030,boxscore,HOU,SEA,W,3,0,,1-0,1, Tied,Keuchel,Hernandez,Giles,2:29,N,"41,678",+,True,8,2017
1,201704030,boxscore,WSN,MIA,W,4,2,,1-0,1, Tied,Strasburg,Phelps,Treinen,2:47,D,"42,744",+,True,9,2017
1,201704030,boxscore,LAD,SDP,W,14,3,,1-0,1, Tied,Kershaw,Chacin,,2:52,D,"53,701",+,True,10,2017
1,201704030,boxscore,MIL,COL,L,5,7,,0-1,2, 1.0,Estevez,Marinez,Holland,3:26,D,"43,336",-,True,11,2017
1,201704030,boxscore,MIN,KCR,W,7,1,,1-0,1, Tied,Santana,Strahm,,2:47,D,"39,615",+,True,12,2017
1,201704030,boxscore,OAK,LAA,W,4,2,,1-0,1, Tied,Graveman,Nolasco,Casilla,2:56,N,"36,067",+,True,13,2017
2,201704040,boxscore,TEX,CLE,L,3,4,,0-2,4, 2.0,Carrasco,Perez,Allen,3:14,N,"23,574",--,True,14,2017
2,201704040,boxscore,TBR,NYY,L,0,5,,1-1,3, 0.5,Sabathia,Odorizzi,,3:07,N,"19,366",-,True,15,2017
2,201704040,boxscore,LAD,SDP,L,0,4,,1-1,2, 1.0,Richard,Maeda,,2:44,N,"42,196",-,True,16,2017
2,201704040,boxscore,STL,CHC,L,1,2,,1-1,1, Tied,Arrieta,Wainwright,Davis,2:57,N,"46,760",-,True,17,2017
1,201704040,boxscore,CHW,DET,L,3,6,,0-1,4, 1.5,Verlander,Quintana,Rodriguez,3:30,D,"36,534",-,True,18,2017
2,201704040,boxscore,MIL,COL,L,5,6,,0-2,5, 1.0,Anderson,Davies,Holland,3:34,N,"21,458",--,True,19,2017
2,201704040,boxscore,HOU,SEA,W,2,1,,2-0,1,up 1.0,McCullers,Iwakuma,Giles,2:41,N,"21,406",++,True,20,2017
2,201704040,boxscore,OAK,LAA,L,6,7,,1-1,2, 1.0,Bailey,Dull,Bedrosian,3:17,N,"11,225",-,True,21,2017
2,201704040,boxscore,ARI,SFG,L,4,8,,1-1,2, 1.0,Cueto,Corbin,,3:26,N,"19,378",-,True,22,2017
2,201704050,boxscore,CIN,PHI,W,2,0,,1-1,1, Tied,Finnegan,Eickhoff,Iglesias,2:25,N,"19,944",+,True,23,2017
3,201704050,boxscore,ARI,SFG,W,8,6,,2-1,1, Tied,Walker,Moore,Rodney,3:15,N,"14,675",+,True,24,2017
2,201704050,boxscore,NYM,ATL,L,1,3,12,1-1,2, 1.0,Johnson,Montero,,3:51,N,"28,113",-,True,25,2017
3,201704050,boxscore,TBR,NYY,W,4,1,,2-1,3, 0.5,Cobb,Pineda,Colome,3:17,N,"12,737",+,True,26,2017
2,201704050,boxscore,MIN,KCR,W,9,1,,2-0,2, 0.5,Santiago,Kennedy,,3:06,D,"15,171",++,True,27,2017
3,201704050,boxscore,LAD,SDP,W,3,1,,2-1,1, Tied,Hill,Cahill,Jansen,2:43,N,"38,373",+,True,28,2017
3,201704050,boxscore,MIL,COL,W,6,1,,1-2,4, 0.5,Peralta,Chatwood,Feliz,3:03,N,"21,824",+,True,29,2017
